question_id,topic_id,question_text,option_1,option_2,option_3,option_4,correct_answer,explanation
1,3,Your customer has EC2 instances deployed in private subnets that are not Internet reachable. The EC2 instances are deployed in two availability zones within the same region. They need to use these EC2 instances as the backend of an Internet-facing load balancer. The load balancer must support path-based routing. Which option below should you utilize to achieve the required connectivity?,"Create a public subnet in both of the AZs, create an Application Load Balancer, associate the public subnets with the Application Load Balancer, and add the private EC2 instances to the Application Load Balancer",Add public VIFs to the EC2 instances and then add the instances to an Application Load Balancer,"Create a public subnet in one of the AZs, create a Classic Load Balancer, associate the public subnet with the Classic Load Balancer, and add the private EC2 instances to the Classic Load Balancer","Add an Internet Gateway (IGW) each of private subnets where the EC2 instances are deployed, create a Classic Load Balancer, and add static routes pointing the EC2 instances to the Classic Load Balancer",1,"To use EC2 instances deployed in a private subnets with a load balancer, you will need to create a public subnet in each Availability Zone (AZ) the EC2 instances are deployed in, associate the public subnets with the load balancer, and then add the private EC2 instances to the load balancer. Classic Load Balancers do not support path-based routing. Application Load Balancers do support path-based routing and could be used for the criteria defined here. Adding a public VIF or IGW would be helpful in giving the instances Internet access, but that is not a requirement here."
2,3,Which of the following statements about AWS Direct Connect is FALSE?,Direct Connect virtual interfaces can be reconfigured at any time,On-premises VPN hardware is required for Direct Connect to connect to AWS Virtual Private Cloud,Direct Connect is compatible with all AWS services,Direct Connect allows for access to both AWS services using private IP address space and AWS services using public IP address space from the same connection,2,"AWS Direct Connect is a service that allows users to establish a dedicated connection from an on-premises location to AWS. Direct Connect is compatible with all AWS services and allows users to connect to an AWS VPC without the need for on-premises VPN hardware. By using 802.1q VLANs the dedicated Direct Connect connection can be partitioned into multiple virtual interfaces which allow for access to both AWS services using private IP address space and AWS services using public IP address space from the same connection. If a user’s needs change, Direct Connect virtual interfaces can be reconfigured at any time."
3,3,Your customer has EC2 instances deployed in private subnets that are not Internet reachable. The EC2 instances are deployed in two availability zones within the same region. They need to use these EC2 instances as the backend of an Internet-facing load balancer. Which option below should you utilize to achieve the required connectivity?,"Create a public subnet in both of the AZs, create a Load Balancer, associate the public subnets with the Load Balancer, and add the private EC2 instances to the Load Balancer",Add public VIFs to the EC2 instances and then add the instances to a Load Balancer,"Create a public subnet in one of the AZs, create a Load Balancer, associate the public subnet with the Load Balancer, and add the private EC2 instances to the Load Balancer","Add an Internet Gateway (IGW) each of private subnets where the EC2 instances are deployed, create a Load Balancer and add static routes pointing the EC2 instances to the Load Balancer",1,"To use EC2 instances deployed in a private subnets with a load balancer, you will need to create a public subnet in each Availability Zone (AZ) the EC2 instances are deployed in, associate the public subnets with the load balancer, and then add the private EC2 instances to the load balancer. Either an Application or Classic Load Balancer could be used for the criteria defined here."
4,3,Your on-premises datacenter is connected to your VPC using a DX connection. You have multiple Windows EC2 instances deployed within a private subnet in your VPC. You have configured the instances' security group rules to allow for RDP access from your datacenter so you can access the instances for administration. You would like to further harden the configuration and mitigate the risk of man-in-the-middle (MITM) attacks.Which of the following should you implement to mitigate the risk of MITM attacks?,Publicly trusted X.509 certificates,SSL encryption of the RDP connection,EV SSL Certificates,Change the default RDP port,1,"By default, Windows RDP uses untrusted, self-signed certificates. Publicly trusted X.509 certificates can be used to ensure you communicate directly with the Windows instance as opposed to a “man-in-the-middle”. RDP connections establish an underlying SSL/TLS connection, so manual SSL encryption of the RDP connection would be unnecessary. EV SSL Certificates are used for websites. Changing the default RDP port would be “security by obscurity” at best, but would not inherently mitigate MITM attacks."
5,3,"A customer needs to allow EC2 instances deployed across 3 VPCs (VPCs A, B, & C) access to a variety of services and applications at an on-premises datacenter. There is a requirement to have only one VPN connection to the datacenter. There is no sustainable method available for replicating some of the services in AWS. There are no overlapping CIDR ranges at any of the 3 VPCs or the data center network. Which of the solutions below would be best suited for establishing connectivity between VPCs A, B, & C and the on-premises datacenter?","Configure a VPN connection between a 4th VPC and the datacenter, create VPN connections between this VPC and VPCs A, B, & C, use dynamic routing to allow the VPCs A, B, & C to access the datacenter network","Configure a VPN connection between a 4th VPC and the datacenter, create VPC Peering connections between this VPC and VPCs A, B, & C, use static routing to allow the VPCs A, B, & C to access the datacenter network","Configure a VPN connection between a 4th VPC and the datacenter, create VPC Peering connections between this VPC and VPCs A, B, & C, use dynamic routing to allow the VPCs A, B, & C to access the datacenter network","Configure a  4th VPC with a LAG connection to VPN device datacenter network, establish VPC Peering connections between this VPC and VPCs A, B, & C, and create dynamic routes to allow the VPCs A, B, & C to access the datacenter network",1,"A single “Transit VPC” connected via VPN to the datacenter network and VPN connections between VPCs A, B, & C and the Transit VPC would allow for the desired connectivity. Dynamic routing the preferred routing method for this configuration. VPC Peering would not allow for transitive routing. a LAG would be used for a DX connection."
6,3,"You have 4 Direct Connect (DX) connections to your VPC from your Chicago, Boston, Houston, and Orlando offices. Your VPC’s address range is 10.20.0.0/16. You are using BGP routing. You would like to ensure AWS uses the Chicago connection to reach the IP addresses ranging from 10.20.30.0-10.20.30.127 on your network. The other three locations are currently advertising the following routes:
Boston: 10.20.0.0/16 AS 65000
Houston: 10.20.30.0/24 AS 65000 65000
Orlando: 10.20.30.254/32 AS 65000 65000  65000
Which of the following routes could you advertise from your Chicago connection to ensure AWS uses it to access IP addresses ranging from 10.20.30.0-10.20.30.127?",10.20.30.128/26 AS 65000,10.20.128.0/17 AS 65000,10.20.30.0/25 AS 65000 65000 65000,10.20.30.0/23 AS 65000 65000,3,"AWS will choose the most specific route first. If routes are equal after checking for the most specific routes, AWS will use AS path prepending to determine which route is preferred. In this example, 10.20.30.0/25 is more specific than 10.20.30.0/24 and 10.20.0.0/16, so AS path prepending will not matter. The other options are either outside of the address range in question (10.20.30.128/26 and 10.20.128.0/17) or less specific than the route advertised by Houston (10.20.30.0/23). The route advertised from Orlando, 10.20.30.254/32, identifies a single IPv4 address that is outside of the range in question."
7,3,You recently deployed a File Storage Gateway solution for a customer that expands their on-premises storage capacity into the AWS Cloud. There is a requirement to only allow NFS clients with IPv4 addresses between 192.168.1.1 and 192.168.1.14 to mount to a specific file share. These NFS clients have a subnet mask of 255.255.255.0. Which of the entries to the “Allowed clients” list for that file share in the AWS Storage Gateway Console best meets the requirement?,192.168.1.0/28,192.168.1.0/27,192.168.1.0/29,192.168.1.0/24,1,"It is recommended to change the allowed client settings for Storage Gateway file shares. Otherwise, any client on the network could mount to the file share. In this example, 192.168.1.0/28 would include IP addresses ranging from 192.168.1.0 to 192.168.1.15 (with the .0 address reserved as the network address and the .15 reserved as the broadcast address, only the addresses between  .1 and .14 remain). This meets the requirement without allowing additional IP addresses to mount the file share. The /29 suffix would not allow all the IP addresses between 192.168.1.1 and 192.168.1.14 to mount the file share. The /24 and /27 suffixes would allow additional IP addresses to mount the file share. The 255.255.255.0 (/24) subnet mask configured on the clients does not impact what ranges can be defined in the “Allowed clients” list."
8,3,"A customer you configured a Direct Connect (DX) connection for would like to send traffic from a VPC in the US-East-1 region over their corporate network backbone for auditing and on to a VPC in US-West-1 region. The configuration uses dynamic BGP routing. After updating the routing tables, traffic from the US-East-1 VPC is not reaching the US-West-1 VPC. Both VPCs can still access the corporate network. The private IPv4 address range for the VPC in US-East-1 is 172.16.0.0/16 and the private IPv4 address range for the VPC in US-West-1 is 172.17.0.0/16. Which of the following reasons is most likely to be the cause of traffic from the US-East-1 VPC not reaching the US-West-1 VPC?",The described configuration is transitive routing and will not work,The VGWs in US-West-1 and US-East-1 are advertising the same AS number,The VGWs in US-West-1 and US-East-1 are advertising overlapping IP address ranges,The MED on the corporate router is too low,2,"In a BGP environment, if a router sees the same AS number it has in an AS_PATH, it will reject the traffic as the same AS number suggests a loop. In this scenario, the only logical possibility presented is that the AS numbers advertised from US-West-1 and US-East-1 are the same. The described configuration is possible if the routing is properly configured. The MED on the corporate router being “too low” would not be an issue as a lower MED equates to a more preferred route. There is no information to suggest that US-West-1 and US-East-1 are advertising overlapping IP address ranges and since the corporate network can reach both VPCs without issue, this option is even less likely."
9,3,Route 53 is the DNS service for your domain. You would like to access your RDS DB instance using the FQDN “mysitesdb.mycorp.com” as opposed the default FQDN “yourrdsdb.xcvee3b2c3d41134.us-west-1.rds.amazonaws.com” it was assigned. What record should you update to make this possible?,A,AAAA,CNAME,MX,3,"A CNAME record is a DNS record that maps an “alias name” (in this example “mysitesdb.mycorp.com”) to a “canonical name” (in this example “yourrdsdb.xcvee3b2c3d41134.us-west-1.rds.amazonaws.com”). An A record maps IPv4 addresses to domain names, an AAAA record maps IPv6 records to domain names, and a MX record specifies an email server."
10,3,Which of the following routes will AWS prefer if all are broadcast to the same virtual private gateway?,10.10.0.0/16 AS 64511,10.10.10.0/24 AS 64511 AS 64511,0.0.0.0/0 ,10.10.10.0/24 AS 64511,4,"AWS will always prefer the most specific route. If there is not a single most specific route, AS path prepending will be used to determine the preferred route, with the shorter path being preferred. In the example, 10.10.10.0/24 is the most specific route and AS 64511 is shorter than AS 64511 AS 64511."
